Order Date,Customer ID,Category,Region,Sales,Profit,Discount,Quantity
2022-06-15,CUST-031,Furniture,West,449.24,157.13,0.05,3
2022-06-16,CUST-040,Office Supplies,North,63.28,20.22,0.1,4
2022-06-17,CUST-075,Furniture,East,234.64,90.98,0.05,3
2022-06-19,CUST-007,Apparel,West,38.56,14.2,0.0,5
2022-06-20,CUST-071,Apparel,East,68.99,25.41,0.05,2
2022-06-21,CUST-049,Electronics,West,187.46,56.92,0.2,5
2022-06-22,CUST-061,Furniture,North,333.6,105.46,0.15,1
2022-06-24,CUST-061,Electronics,East,393.78,140.37,0.0,3
2022-06-25,CUST-006,Electronics,West,271.79,25.21,0.3,2
2022-06-26,CUST-074,Electronics,North,342.69,95.88,0.1,3
2022-06-27,CUST-079,Office Supplies,West,48.53,6.05,0.3,3
2022-06-28,CUST-003,Furniture,East,296.46,96.0,0.15,4
2022-06-30,CUST-005,Electronics,South,204.68,68.32,0.15,1
2022-07-01,CUST-057,Electronics,East,277.1,119.52,0.0,3
2022-07-02,CUST-021,Apparel,West,95.8,42.92,0.0,5
2022-07-03,CUST-025,Electronics,South,52.55,-35.89,0.65,5
2022-07-04,CUST-002,Electronics,East,244.01,105.14,0.0,4
2022-07-06,CUST-040,Furniture,West,83.2,-57.33,0.65,1
2022-07-07,CUST-059,Apparel,West,65.75,18.74,0.1,1
2022-07-08,CUST-013,Electronics,North,369.31,150.29,0.0,5
2022-07-09,CUST-074,Office Supplies,East,69.25,25.08,0.0,2
2022-07-11,CUST-011,Office Supplies,East,39.3,15.31,0.0,4
2022-07-12,CUST-011,Electronics,North,194.83,-29.11,0.5,4
2022-07-13,CUST-012,Office Supplies,North,56.73,19.82,0.1,5
2022-07-14,CUST-024,Furniture,West,197.84,81.55,0.05,5
2022-07-15,CUST-044,Office Supplies,West,38.75,14.96,0.05,2
2022-07-17,CUST-018,Office Supplies,West,41.08,15.7,0.0,2
2022-07-18,CUST-054,Furniture,North,209.03,79.61,0.1,1
2022-07-19,CUST-044,Electronics,West,385.39,165.51,0.0,4
2022-07-20,CUST-007,Office Supplies,East,36.98,5.91,0.3,4
2022-07-22,CUST-052,Electronics,North,350.07,111.21,0.05,5
2022-07-23,CUST-054,Electronics,North,206.21,69.79,0.05,1
2022-07-24,CUST-031,Electronics,West,148.56,45.66,0.1,4
2022-07-25,CUST-050,Furniture,North,357.78,134.52,0.1,1
2022-07-26,CUST-043,Office Supplies,West,11.6,-9.22,0.65,1
2022-07-28,CUST-069,Electronics,North,234.28,70.67,0.1,5
2022-07-29,CUST-017,Furniture,West,579.48,225.93,0.0,1
2022-07-30,CUST-021,Electronics,West,229.06,54.16,0.15,2
2022-07-31,CUST-036,Office Supplies,North,60.29,25.17,0.0,2
2022-08-01,CUST-055,Electronics,West,173.35,61.69,0.0,3
2022-08-03,CUST-058,Office Supplies,West,10.28,-8.56,0.65,5
2022-08-04,CUST-002,Furniture,North,199.37,62.02,0.2,3
2022-08-05,CUST-027,Apparel,North,27.68,-19.38,0.65,2
2022-08-06,CUST-073,Electronics,East,141.37,39.63,0.1,3
2022-08-08,CUST-034,Electronics,East,208.14,78.56,0.1,5
2022-08-09,CUST-060,Electronics,East,277.22,109.57,0.0,5
2022-08-10,CUST-053,Apparel,West,63.98,22.53,0.0,1
2022-08-11,CUST-062,Apparel,West,33.45,4.51,0.3,4
2022-08-12,CUST-078,Electronics,West,194.07,77.83,0.05,1
2022-08-14,CUST-006,Office Supplies,South,53.99,7.08,0.3,5
2022-08-15,CUST-075,Office Supplies,East,50.8,14.58,0.2,2
2022-08-16,CUST-048,Furniture,East,406.39,161.75,0.0,2
2022-08-17,CUST-030,Furniture,East,188.27,71.67,0.1,1
2022-08-19,CUST-057,Electronics,South,334.9,94.34,0.15,5
2022-08-20,CUST-060,Electronics,West,309.26,123.19,0.0,2
2022-08-21,CUST-023,Apparel,East,41.17,4.47,0.3,5
2022-08-22,CUST-019,Apparel,East,89.38,28.49,0.1,2
2022-08-23,CUST-036,Office Supplies,East,40.96,16.18,0.0,5
2022-08-25,CUST-003,Electronics,West,234.28,63.67,0.15,3
2022-08-26,CUST-019,Electronics,North,104.97,-64.3,0.65,5
2022-08-27,CUST-059,Office Supplies,South,38.94,15.2,0.0,5
2022-08-28,CUST-023,Apparel,East,74.51,14.13,0.3,1
2022-08-29,CUST-049,Apparel,East,89.87,32.12,0.0,3
2022-08-31,CUST-048,Office Supplies,South,45.7,13.89,0.2,4
2022-09-01,CUST-050,Office Supplies,North,29.4,7.61,0.2,1
2022-09-02,CUST-035,Electronics,West,138.91,48.31,0.05,4
2022-09-03,CUST-065,Electronics,East,205.67,76.68,0.05,2
2022-09-05,CUST-078,Apparel,East,72.18,21.73,0.2,4
2022-09-06,CUST-033,Office Supplies,East,37.39,12.24,0.1,5
2022-09-07,CUST-035,Electronics,North,219.55,51.0,0.2,4
2022-09-08,CUST-005,Electronics,South,324.18,123.06,0.0,1
2022-09-09,CUST-038,Office Supplies,South,22.98,3.7,0.3,1
2022-09-11,CUST-041,Electronics,East,250.33,60.59,0.2,4
2022-09-12,CUST-057,Electronics,West,78.13,-14.85,0.5,1
2022-09-13,CUST-011,Furniture,South,597.77,178.91,0.0,1
2022-09-14,CUST-002,Office Supplies,North,45.37,12.9,0.15,4
2022-09-16,CUST-017,Office Supplies,West,29.87,8.69,0.15,3
2022-09-17,CUST-039,Electronics,South,211.27,83.41,0.05,3
2022-09-18,CUST-020,Office Supplies,North,44.39,17.25,0.1,2
2022-09-19,CUST-014,Electronics,East,332.16,143.69,0.0,1
2022-09-20,CUST-025,Electronics,East,262.61,78.22,0.2,4
2022-09-22,CUST-007,Office Supplies,West,54.04,18.32,0.1,1
2022-09-23,CUST-041,Office Supplies,West,32.72,12.72,0.0,5
2022-09-24,CUST-043,Office Supplies,West,29.91,9.81,0.15,1
2022-09-25,CUST-013,Office Supplies,North,28.86,8.21,0.1,1
2022-09-26,CUST-077,Furniture,West,439.49,197.48,0.0,3
2022-09-28,CUST-001,Electronics,West,127.25,-100.79,0.65,4
2022-09-29,CUST-036,Furniture,West,190.5,-42.87,0.5,1
2022-09-30,CUST-068,Electronics,East,157.02,54.55,0.1,3
2022-10-01,CUST-037,Electronics,South,279.32,124.29,0.0,2
2022-10-03,CUST-040,Apparel,West,75.56,17.69,0.2,3
2022-10-04,CUST-061,Furniture,West,455.96,157.78,0.1,3
2022-10-05,CUST-059,Apparel,North,94.49,30.47,0.05,3
2022-10-06,CUST-013,Office Supplies,East,37.81,12.43,0.1,1
2022-10-07,CUST-001,Office Supplies,West,33.73,9.59,0.1,1
2022-10-09,CUST-069,Furniture,East,478.52,156.48,0.15,2
2022-10-10,CUST-016,Furniture,West,425.06,131.02,0.1,5
2022-10-11,CUST-027,Furniture,West,281.23,78.84,0.15,5
2022-10-12,CUST-065,Electronics,East,163.99,-40.65,0.5,5
2022-10-14,CUST-034,Office Supplies,East,67.47,26.88,0.05,2
2022-10-15,CUST-004,Electronics,South,235.48,54.01,0.2,5
2022-10-16,CUST-064,Electronics,West,219.52,31.42,0.3,5
2022-10-17,CUST-039,Office Supplies,East,42.54,13.03,0.1,3
2022-10-18,CUST-075,Electronics,East,246.79,87.01,0.1,1
2022-10-20,CUST-055,Apparel,West,62.68,15.56,0.15,1
2022-10-21,CUST-035,Apparel,East,82.5,28.3,0.15,3
2022-10-22,CUST-044,Apparel,West,67.53,6.68,0.3,3
2022-10-23,CUST-022,Furniture,South,489.36,91.06,0.1,3
2022-10-24,CUST-046,Electronics,West,47.22,-38.01,0.65,1
2022-10-26,CUST-030,Apparel,East,89.97,35.87,0.0,5
2022-10-27,CUST-010,Furniture,West,513.54,208.58,0.0,3
2022-10-28,CUST-009,Apparel,South,72.12,17.0,0.15,2
2022-10-29,CUST-066,Apparel,East,85.93,34.11,0.05,3
2022-10-31,CUST-013,Apparel,East,96.62,38.2,0.0,4
2022-11-01,CUST-079,Electronics,West,243.36,85.29,0.05,3
2022-11-02,CUST-073,Furniture,North,388.39,134.88,0.05,1
2022-11-03,CUST-009,Apparel,West,44.98,19.32,0.0,3
2022-11-04,CUST-075,Electronics,North,81.81,-62.03,0.65,4
2022-11-06,CUST-000,Electronics,West,301.85,111.13,0.0,2
2022-11-07,CUST-004,Furniture,West,417.92,127.99,0.2,5
2022-11-08,CUST-019,Apparel,West,41.31,8.2,0.2,3
2022-11-09,CUST-007,Office Supplies,East,17.22,-1.82,0.5,4
2022-11-10,CUST-042,Furniture,East,474.52,196.64,0.0,4
2022-11-12,CUST-075,Electronics,West,92.75,19.66,0.3,2
2022-11-13,CUST-000,Office Supplies,North,32.97,12.54,0.1,1
2022-11-14,CUST-056,Apparel,East,32.38,7.96,0.15,3
2022-11-15,CUST-063,Electronics,East,149.65,46.57,0.15,4
2022-11-17,CUST-027,Furniture,East,194.58,29.89,0.3,2
2022-11-18,CUST-036,Apparel,East,60.72,24.19,0.05,5
2022-11-19,CUST-046,Office Supplies,East,38.98,9.27,0.2,4
2022-11-20,CUST-075,Office Supplies,West,66.79,21.56,0.1,2
2022-11-21,CUST-036,Office Supplies,West,43.64,11.61,0.2,1
2022-11-23,CUST-048,Furniture,North,174.7,-116.45,0.65,1
2022-11-24,CUST-043,Electronics,South,159.49,57.66,0.0,4
2022-11-25,CUST-055,Office Supplies,West,13.71,-9.34,0.65,4
2022-11-26,CUST-027,Office Supplies,West,64.96,26.03,0.0,3
2022-11-28,CUST-078,Apparel,East,39.8,16.78,0.0,2
2022-11-29,CUST-005,Apparel,East,71.04,26.38,0.0,4
2022-11-30,CUST-060,Furniture,West,426.12,161.59,0.05,3
2022-12-01,CUST-019,Furniture,West,382.22,111.81,0.15,3
2022-12-02,CUST-077,Office Supplies,North,28.24,11.99,0.0,4
2022-12-04,CUST-001,Office Supplies,East,44.39,15.59,0.0,1
2022-12-05,CUST-072,Office Supplies,West,30.69,-4.86,0.5,2
2022-12-06,CUST-036,Office Supplies,West,24.53,2.56,0.3,2
2022-12-07,CUST-019,Apparel,West,60.25,9.23,0.3,1
2022-12-08,CUST-025,Electronics,East,230.25,42.56,0.3,4
2022-12-10,CUST-028,Furniture,West,483.71,102.81,0.2,2
2022-12-11,CUST-000,Electronics,West,187.4,78.08,0.0,4
2022-12-12,CUST-034,Furniture,North,513.62,169.48,0.05,4
2022-12-13,CUST-069,Electronics,West,215.49,42.69,0.2,3
2022-12-15,CUST-058,Furniture,East,338.55,111.91,0.05,1
2022-12-16,CUST-068,Furniture,West,215.84,75.29,0.15,4
2022-12-17,CUST-032,Electronics,West,326.17,121.1,0.0,5
2022-12-18,CUST-050,Furniture,West,285.22,107.74,0.05,1
2022-12-19,CUST-077,Electronics,North,207.05,60.42,0.1,2
2022-12-21,CUST-011,Electronics,North,126.23,35.08,0.15,3
2022-12-22,CUST-019,Office Supplies,North,59.73,15.22,0.15,2
2022-12-23,CUST-052,Furniture,West,439.25,129.22,0.15,2
2022-12-24,CUST-042,Electronics,East,325.67,129.13,0.0,1
2022-12-26,CUST-049,Furniture,West,326.17,142.07,0.0,2
2022-12-27,CUST-028,Office Supplies,West,25.46,2.6,0.3,4
2022-12-28,CUST-056,Electronics,North,255.27,77.5,0.15,2
2022-12-29,CUST-038,Office Supplies,West,53.79,21.52,0.0,3
2022-12-30,CUST-055,Electronics,West,125.34,12.8,0.3,3
2023-01-01,CUST-042,Electronics,West,313.08,122.14,0.0,5
2023-01-02,CUST-049,Furniture,West,547.54,200.7,0.1,3
2023-01-03,CUST-022,Furniture,West,508.87,198.95,0.0,2
2023-01-04,CUST-043,Office Supplies,East,53.57,14.01,0.2,3
2023-01-05,CUST-037,Office Supplies,East,66.57,19.82,0.15,1
2023-01-07,CUST-022,Apparel,North,50.61,22.63,0.0,3
2023-01-08,CUST-044,Furniture,North,304.32,56.08,0.3,4
2023-01-09,CUST-051,Electronics,West,351.56,125.74,0.1,1
2023-01-10,CUST-079,Office Supplies,West,34.13,11.81,0.05,5
2023-01-12,CUST-049,Electronics,West,316.87,142.23,0.0,4
2023-01-13,CUST-007,Furniture,East,420.86,159.09,0.05,2
2023-01-14,CUST-000,Electronics,West,286.83,102.57,0.0,2
2023-01-15,CUST-007,Electronics,East,268.76,91.32,0.15,2
2023-01-16,CUST-028,Apparel,East,72.05,10.12,0.3,4
2023-01-18,CUST-004,Office Supplies,East,62.33,18.79,0.1,4
2023-01-19,CUST-046,Office Supplies,East,30.03,10.68,0.0,4
2023-01-20,CUST-033,Furniture,West,551.91,207.15,0.0,1
2023-01-21,CUST-064,Electronics,South,191.54,72.39,0.0,1
2023-01-23,CUST-054,Electronics,North,208.35,61.89,0.1,2
2023-01-24,CUST-042,Electronics,West,203.12,52.15,0.2,3
2023-01-25,CUST-073,Furniture,North,400.21,147.84,0.0,2
2023-01-26,CUST-029,Office Supplies,East,40.4,12.58,0.2,5
2023-01-27,CUST-016,Office Supplies,North,54.33,4.47,0.3,1
2023-01-29,CUST-025,Electronics,North,286.55,97.32,0.1,4
2023-01-30,CUST-007,Apparel,East,57.01,7.71,0.3,1
2023-01-31,CUST-046,Office Supplies,West,25.24,8.15,0.15,4
2023-02-01,CUST-075,Furniture,West,486.88,129.31,0.15,5
2023-02-02,CUST-071,Office Supplies,East,68.5,26.05,0.1,5
2023-02-04,CUST-045,Furniture,East,470.09,137.23,0.1,1
2023-02-05,CUST-067,Electronics,West,133.86,49.15,0.0,4
2023-02-06,CUST-032,Furniture,West,216.0,86.04,0.05,5
2023-02-07,CUST-000,Office Supplies,North,37.2,12.5,0.05,2
2023-02-09,CUST-018,Electronics,South,141.67,36.9,0.15,2
2023-02-10,CUST-030,Electronics,East,237.29,91.78,0.0,4
2023-02-11,CUST-079,Electronics,West,187.79,-32.81,0.5,1
2023-02-12,CUST-013,Electronics,West,205.3,57.19,0.2,5
2023-02-13,CUST-052,Apparel,West,33.27,12.08,0.1,1
2023-02-15,CUST-047,Office Supplies,South,42.27,17.67,0.0,2
2023-02-16,CUST-068,Furniture,West,155.54,13.25,0.3,5
2023-02-17,CUST-061,Electronics,East,99.11,20.14,0.3,1
2023-02-18,CUST-065,Furniture,West,253.19,52.89,0.2,3
2023-02-20,CUST-063,Furniture,East,300.63,115.54,0.05,4
2023-02-21,CUST-069,Electronics,East,305.82,101.21,0.1,4
2023-02-22,CUST-062,Furniture,North,601.73,222.97,0.0,3
2023-02-23,CUST-072,Furniture,West,355.45,128.52,0.0,2
2023-02-24,CUST-032,Office Supplies,West,40.13,10.81,0.2,5
2023-02-26,CUST-040,Office Supplies,West,58.09,14.8,0.2,4
2023-02-27,CUST-047,Electronics,South,172.37,52.43,0.15,3
2023-02-28,CUST-012,Furniture,North,187.46,39.82,0.3,3
2023-03-01,CUST-072,Office Supplies,East,62.11,19.76,0.15,2
2023-03-02,CUST-076,Furniture,East,200.68,67.8,0.1,2
2023-03-04,CUST-030,Apparel,East,76.59,28.93,0.05,1
2023-03-05,CUST-074,Office Supplies,West,28.67,-7.01,0.5,4
2023-03-06,CUST-067,Electronics,South,223.32,91.9,0.0,1
2023-03-07,CUST-003,Electronics,East,107.61,-21.29,0.5,3
2023-03-09,CUST-018,Office Supplies,West,48.08,7.35,0.3,5
2023-03-10,CUST-069,Electronics,East,154.82,58.2,0.0,5
2023-03-11,CUST-012,Furniture,West,255.52,64.24,0.15,2
2023-03-12,CUST-022,Apparel,West,62.12,8.59,0.3,5
2023-03-13,CUST-074,Furniture,North,363.56,94.55,0.15,5
2023-03-15,CUST-000,Furniture,West,128.11,-20.42,0.5,5
2023-03-16,CUST-053,Office Supplies,East,37.32,-7.77,0.5,3
2023-03-17,CUST-070,Furniture,West,328.07,115.0,0.1,5
2023-03-18,CUST-014,Furniture,West,514.68,194.27,0.05,5
2023-03-19,CUST-064,Apparel,West,46.36,-11.43,0.5,5
2023-03-21,CUST-075,Furniture,West,389.95,97.18,0.15,1
2023-03-22,CUST-070,Apparel,North,71.6,31.35,0.0,3
2023-03-23,CUST-014,Apparel,West,106.53,41.18,0.0,2
2023-03-24,CUST-020,Electronics,East,144.73,41.17,0.15,1
2023-03-26,CUST-018,Electronics,East,161.72,-20.0,0.5,4
2023-03-27,CUST-059,Electronics,East,127.73,23.5,0.3,3
2023-03-28,CUST-032,Electronics,South,188.11,59.51,0.15,3
2023-03-29,CUST-048,Electronics,North,213.5,92.51,0.0,4
2023-03-30,CUST-034,Office Supplies,West,74.23,29.35,0.05,4
2023-04-01,CUST-043,Electronics,West,271.17,47.74,0.3,4
2023-04-02,CUST-010,Electronics,West,180.32,75.09,0.0,2
2023-04-03,CUST-071,Office Supplies,East,26.78,9.16,0.05,5
2023-04-04,CUST-077,Electronics,West,322.08,126.52,0.0,3
2023-04-06,CUST-073,Office Supplies,East,42.14,9.98,0.15,5
2023-04-07,CUST-065,Electronics,East,77.73,-14.22,0.5,5
2023-04-08,CUST-045,Electronics,West,296.89,101.45,0.05,4
2023-04-09,CUST-008,Office Supplies,North,50.79,14.83,0.1,2
2023-04-10,CUST-002,Office Supplies,West,67.96,18.56,0.15,1
2023-04-12,CUST-025,Apparel,West,18.33,-12.63,0.65,2
2023-04-13,CUST-071,Office Supplies,North,48.81,18.29,0.0,5
2023-04-14,CUST-047,Office Supplies,East,50.67,18.56,0.1,2
2023-04-15,CUST-065,Electronics,East,323.96,125.23,0.05,4
2023-04-16,CUST-069,Electronics,East,193.83,26.4,0.3,1
2023-04-18,CUST-027,Office Supplies,West,54.09,17.58,0.1,4
2023-04-19,CUST-025,Office Supplies,North,39.21,17.56,0.0,1
2023-04-20,CUST-024,Apparel,North,82.43,19.93,0.15,5
2023-04-21,CUST-011,Furniture,East,303.11,68.33,0.2,1
2023-04-23,CUST-004,Furniture,West,261.51,104.72,0.0,1
2023-04-24,CUST-047,Office Supplies,East,44.01,3.56,0.3,1
2023-04-25,CUST-036,Electronics,West,189.05,76.77,0.0,2
2023-04-26,CUST-078,Apparel,West,36.57,8.69,0.15,2
2023-04-27,CUST-043,Apparel,South,88.26,29.3,0.1,5
2023-04-29,CUST-014,Furniture,West,313.4,93.46,0.2,1
2023-04-30,CUST-042,Office Supplies,South,64.09,21.83,0.05,3
2023-05-01,CUST-047,Office Supplies,East,29.88,3.51,0.3,5
2023-05-02,CUST-069,Electronics,West,271.81,58.68,0.2,1
2023-05-04,CUST-045,Apparel,East,37.45,9.03,0.15,1
